ch1,ch2,frequency
6.132644172146953e-05,6.137369358572195e-05,915.8632168785157
6.061194762092662e-06,6.079866869683667e-06,1013.6759672791567
7.0706317406571485e-06,7.094257672638864e-06,1111.4887176797977
7.328611652983885e-06,7.347283760460809e-06,1209.3014680804388
6.530664835988095e-06,6.543239928740319e-06,1307.1142184810797
6.186564551824873e-06,6.199139644538776e-06,1404.9269688817208
5.173316914067663e-06,5.183605626256808e-06,1502.7397192823619
3.759190571749201e-06,3.754998874203409e-06,1600.5524696830028
3.013830526267919e-06,3.013449462855823e-06,1698.3652200836439
2.526450414528687e-06,2.5386444436787496e-06,1796.177970484285
2.577512903779037e-06,2.5908501231214773e-06,1893.9907208849258
2.377835669849325e-06,2.3885054452909565e-06,1991.803471285567
2.5477899423881572e-06,2.551600576462923e-06,2089.616221686208
2.6861159511816373e-06,2.686497014587962e-06,2187.428972086849
2.5089214596635015e-06,2.506254015827286e-06,2285.24172248749
2.527974622295052e-06,2.5199722908105488e-06,2383.054472888131
2.5348337559273156e-06,2.5264503610640566e-06,2480.867223288772
2.539406509115536e-06,2.533690558089616e-06,2578.679973689413
2.469671899170464e-06,2.4685287089687187e-06,2676.4927240900543
2.079081907326493e-06,2.0756523367315626e-06,2774.305474490695
1.6492423878109226e-06,1.6435264368365316e-06,2872.118224891336
1.4095535060575973e-06,1.405742872086098e-06,2969.930975291977
1.1748184498935519e-06,1.1732941963095187e-06,3067.743725692618
1.0624047448914148e-06,1.0604994279170758e-06,3165.5564760932593
9.461804066277514e-07,9.427508360841951e-07,3263.3692264939
8.177620404987087e-07,8.1966735746166e-07,3361.181976894541
8.3490989067402e-07,8.3490989067402e-07,3458.994727295182
7.438357378994481e-07,7.484084985832562e-07,3556.8074776958233
7.019187628743579e-07,7.125885377714707e-07,3654.6202280964644
7.14874915979964e-07,7.297363881138757e-07,3752.4329784971055
8.539630500800749e-07,8.634896347529897e-07,3850.245728897746
8.791132310067043e-07,8.86353435336625e-07,3948.0584792983873
9.217923274808752e-07,9.290325317893236e-07,4045.8712296990284
8.878776836160457e-07,8.943557611359911e-07,4143.6839800996695
8.688245118682917e-07,8.718730189274788e-07,4241.49673050031
8.078543682960005e-07,8.078543682960005e-07,4339.309480900952
7.796556757790727e-07,7.834663095805344e-07,4437.122231301592
7.27068927173598e-07,7.27068927173598e-07,4534.934981702234
6.931542843975189e-07,6.920110942638231e-07,4632.747732102875
6.546668813020472e-07,6.535236911717177e-07,4730.560482503515
6.436160414822977e-07,6.405675344770529e-07,4828.373232904157
6.485698634599777e-07,6.41329659343797e-07,4926.185983304797
6.169416015624659e-07,6.108445875877905e-07,5023.998733705439
6.077960788180981e-07,6.028422549782013e-07,5121.81148410608
6.295166891950366e-07,6.230386118849182e-07,5219.62423450672
6.104635188493762e-07,6.043665049282838e-07,5317.436984907362
5.795973841794375e-07,5.738814336451236e-07,5415.2497353080025
5.464448694845784e-07,5.464448694845784e-07,5513.062485708644
5.033847074499347e-07,5.068142777505021e-07,5610.875236109285
5.30059141576231e-07,5.342508385980417e-07,5708.687986509925
5.578767656422626e-07,5.60163145829321e-07,5806.500736910567
5.853133261846884e-07,5.860754529114915e-07,5904.313487311208
6.119877598447889e-07,6.116066964824946e-07,6002.126237711849
