frequency,magnitude,phase,complex,label
1256.6370537987414,1.0605692654345424,100.6242664958855,(-0.1955346492975331+1.0423882998712408j),Loop measured
1311.1041584104098,0.9810801259064339,101.6446966695243,(-0.19802320469776605+0.9608876229038497j),Loop measured
1367.9320604184377,0.8956127296365789,102.4264991277142,(-0.1927242273879446+0.8746310843234442j),Loop measured
1427.223085150865,0.8421258673206817,103.0725835281514,(-0.19047643004446194+0.8203015945419877j),Loop measured
1489.0839930781817,0.8498947758022766,102.9025363956956,(-0.1897757810655829+0.8284360463288339j),Loop measured
1553.6261720481316,0.8160931885191801,103.1956139118429,(-0.18629476645268692+0.7945453746261071j),Loop measured
1620.9658378526406,0.6385772671338102,106.8917713096271,(-0.1855480600700326+0.6110260579585237j),Loop measured
1691.2242434880359,0.5949654424433016,108.3325376181078,(-0.1871354166001816+0.56476916838265j),Loop measured
1764.5278974853372,0.6003353048001893,107.9626094980292,(-0.18514117544300496+0.5710737459778016j),Loop measured
1841.0087917037667,0.638220861624634,106.0101662377926,(-0.17602636342746894+0.613466044367079j),Loop measured
1920.8046389976253,0.6797527442246858,104.9015853393534,(-0.17480489764464793+0.6568919553780783j),Loop measured
2004.0591211845046,0.6330804402659296,105.6244260823258,(-0.17050781286492767+0.609686747108154j),Loop measured
2090.922147761314,0.6237335409202477,106.3855624165382,(-0.1759550551998541+0.5984006589389141j),Loop measured
2181.5501258339777,0.6106739126309539,107.2724917297118,(-0.18131913007595277+0.5831346333708003j),Loop measured
2276.1062417468434,0.6019935429263212,107.3707622807802,(-0.1797274657054286+0.5745383048988888j),Loop measured
2374.760754918909,0.5830237633861283,107.429623102044,(-0.17463550654398455+0.5562545716909211j),Loop measured
2477.691304415954,0.5744339729202258,108.391205567292,(-0.18123586494658786+0.5450944418190089j),Loop measured
2585.083228810582,0.555256981186364,108.6329772302679,(-0.1774072458494486+0.5261530046253727j),Loop measured
2697.129899906153,0.5456946721806752,109.1313490235561,(-0.1788431739736574+0.5155558111101094j),Loop measured
2814.03307092547,0.5351835685522163,109.4165639708797,(-0.1779131072499635+0.5047458551756j),Loop measured
2936.003239791218,0.5231873756983354,109.8512732363337,(-0.17766384675590202+0.4920981483870941j),Loop measured
3063.260028152256,0.5106405390662632,109.6884223119185,(-0.17203735578821783+0.4807877997113508j),Loop measured
3196.032576838243,0.5098551745873545,111.3572133507716,(-0.18567977131020388+0.47484241762893525j),Loop measured
3334.55995845469,0.4984624287514324,111.3586676869694,(-0.18154252870351148+0.4642274261056875j),Loop measured
3479.0916078613277,0.4830842742012962,110.8658993126868,(-0.1720658873858417+0.4514019787049188j),Loop measured
3629.887771308938,0.4746265156095436,111.6786889253688,(-0.17532757703864607+0.44105619828930415j),Loop measured
3787.2199750433674,0.467820333270048,113.1490345732736,(-0.18391148005541602+0.43015396281415924j),Loop measured
3951.3715142205024,0.4554801265812626,112.2310220546844,(-0.17232727662563396+0.4216224086090245j),Loop measured
4122.637963012551,0.45342083318642673,112.5193053624424,(-0.17365777805712004+0.4188477385491504j),Loop measured
4301.327706824131,0.4471463099152456,112.4938382705385,(-0.17107105686262475+0.41312772356103805j),Loop measured
4487.762497576509,0.44290144709933044,112.7534757879374,(-0.17129962203552243+0.40843375391018816j),Loop measured
4682.278033059811,0.42759896683849247,112.9459353080609,(-0.16670474232380872+0.39376440332780044j),Loop measured
4885.224561396407,0.4235199160546824,112.7805465236297,(-0.16398799845802098+0.39048310546897846j),Loop measured
5096.967511703903,0.42651070307136224,112.8812770035934,(-0.16583713113909074+0.39294964788123143j),Loop measured
5317.888152093288,0.4246477832468826,112.4126468019995,(-0.16190734599757023+0.39257069570781067j),Loop measured
5548.38427618705,0.41073484516512254,112.8737510058334,(-0.15965340870871753+0.37843612687018185j),Loop measured
5788.870919393427,0.39414501546286373,112.9004498006506,(-0.1533741157056345+0.36307943186820113j),Loop measured
6039.781106226531,0.38672246874789873,112.8742203320207,(-0.1503226713716608+0.3563107664752178j),Loop measured
6301.566630017953,0.3740348574575947,112.4596244826486,(-0.14289339414170335+0.3456639300013627j),Loop measured
6574.698866423865,0.37215313738521966,111.31381922578,(-0.13526870973600386+0.3466991979108387j),Loop measured
6859.6696221923585,0.3505853191634715,111.1293339016191,(-0.1263770354116581+0.3270151539814534j),Loop measured
7156.9920207194245,0.3425396164458735,111.4673360842018,(-0.125359477857856+0.31877639521472073j),Loop measured
7467.201425988025,0.35258631444002636,110.8204208143942,(-0.12532332243817595+0.32956209427581035j),Loop measured
7790.856406553975,0.335878223192827,105.8543096587406,(-0.09175930872694782+0.3231012381237856j),Loop measured
8128.539741314386,0.3333669102698326,105.8262196792547,(-0.09091600660568878+0.32073006813476185j),Loop measured
8480.859468869688,0.3308886695078183,105.774162047751,(-0.08995086055198748+0.3184276280328249j),Loop measured
8848.449982368707,0.33470107477868893,103.4469750077607,(-0.07783318656790207+0.3255254283872393j),Loop measured
9231.97317180824,0.32635887858170115,111.5272249183737,(-0.1197551995499361+0.3035931649590625j),Loop measured
9632.119615843876,0.3704468038464148,106.7038835957501,(-0.1064758362834993+0.3548150655873473j),Loop measured
10049.609825258225,0.3432257441227571,100.6578580448136,(-0.0634774863918049+0.3373047882108977j),Loop measured
10485.195540325358,0.34529397510231696,103.3621091446172,(-0.07979900408697367+0.33594649602084947j),Loop measured
10939.661084407715,0.3606866447072968,102.2834106967451,(-0.0767351767382526+0.35242952248805276j),Loop measured
11413.824776222626,0.31835657193402805,83.99575083952152,(0.03330080371573818+0.3166101125445488j),Loop measured
11908.540403321527,0.3288535318391406,93.9471866363926,(-0.022637265096300412+0.32807346682113214j),Loop measured
12424.698759434961,0.3068281603851726,84.89427372198,(0.027305817183065757+0.3056107202853234j),Loop measured
12963.229248451553,0.2935422839547511,97.31698222103257,(-0.03738513322006287+0.2911518921173103j),Loop measured
13525.101557919135,0.2863786936056792,93.57617194179814,(-0.017863001797567907+0.28582104421836324j),Loop measured
14111.32740508136,0.33518696437404,105.1744503310248,(-0.08773814654981238+0.3235001062229928j),Loop measured
14722.962358593684,0.272274074666293,98.56740578937335,(-0.04056144194725468+0.2692358467265189j),Loop measured
15361.107739199018,0.3181571248240452,94.5437750513202,(-0.025204641692535466+0.31715718833640516j),Loop measured
16026.912602785396,0.31032688438651085,87.90526040609049,(0.011343055494826667+0.3101195096492321j),Loop measured
16721.575809396345,0.2834037274938547,76.1747252077699,(0.06772267312714605+0.27519322720940054j),Loop measured
17446.348181919577,0.2779113598655284,78.92935755446493,(0.0533643005028824+0.2727397575971374j),Loop measured
18202.53475834086,0.25578499925286013,68.66582113197886,(0.09305636071512723+0.2382571710846114j),Loop measured
18991.49714161851,0.24308696689480974,78.65018383037129,(0.047839192155475475+0.23833313904706963j),Loop measured
19814.655951409895,0.2562477626850944,73.4654059316058,(0.07292662944677901+0.2456514249880278j),Loop measured
20673.493382064313,0.26111967621847954,58.01678373443827,(0.13830747342868285+0.2214825683935821j),Loop measured
21569.555871488454,0.20137097558824169,23.6534466113741,(0.18445357391184242+0.08079077224849825j),Loop measured
22504.456885689902,0.08289857022539761,-32.07857017889609,(0.07024166761536091-0.04402591368760377j),Loop measured
23479.879824012674,0.23187696626200993,85.50388986241016,(0.018177163242053294+0.23116340155687498j),Loop measured
24497.58105029587,0.16837855806333726,73.04689545827358,(0.04909731691581087+0.16106145500136607j),Loop measured
25559.393055413595,0.11347955931788092,81.19573196494585,(0.017369118962791637+0.11214242769548395j),Loop measured
26667.227756890497,0.12478175923598273,107.6008925585727,(-0.037732099773379935+0.11894022063506719j),Loop measured
27823.07994153438,0.07968580338791857,122.3000078902054,(-0.04258030552886167+0.06735536238969253j),Loop measured
29029.030857284673,0.22142781946608076,107.8467867376044,(-0.06786158063919301+0.21077259097580395j),Loop measured
30287.25196074442,0.2425232484323033,117.4358854912913,(-0.11174398146542236+0.215245925946142j),Loop measured
31600.008827143498,0.29528487672306253,99.26301674941418,(-0.04753105943754037+0.2914343095966898j),Loop measured
32969.66522977358,0.30945829578470463,96.84237295102065,(-0.03686832940974631+0.3072542320563025j),Loop measured
34398.68739624022,0.29609635049284255,86.949146844936,(0.0157589211378652+0.29567669028814364j),Loop measured
35889.64844919604,0.2744614758053799,69.72201982197997,(0.09512153482905501+0.2574509571025752j),Loop measured
37445.23303955096,0.2699217742135327,66.30021513735602,(0.10849352897562799+0.24715767915441328j),Loop measured
39068.24218050229,0.2568494485312814,54.64689721679367,(0.1486166322140657+0.2094868393006408j),Loop measured
