ch1,ch2,frequency
3.2669846767415076e-06,3.2669846767415076e-06,199.07020032405853
5.883280097739014e-06,5.872280149332484e-06,201.39850676059723
6.78273741743827e-06,6.760737520625222e-06,203.72681319713593
7.169427911417271e-06,7.142351115339688e-06,206.05511963367462
4.904284689549195e-06,4.874669443839357e-06,208.38342607021332
3.698521114217919e-06,3.6587520699790165e-06,210.711732506752
5.7893574613279125e-06,5.750434566966456e-06,213.0400389432907
6.4925080094626475e-06,6.490815709707802e-06,215.3683453798294
6.194663252606367e-06,6.216663149419338e-06,217.6966518163681
7.48842641518027e-06,7.547656906599775e-06,220.0249582529068
9.949876408593734e-06,1.0006568450380943e-05,222.3532646894455
9.225572113516068e-06,9.250110459961264e-06,224.6815711259842
9.644416302833729e-06,9.630031754917588e-06,227.0098775625229
1.1274947116615769e-05,1.1254639519557698e-05,229.33818399906158
1.0356874499609683e-05,1.0358566799364521e-05,231.66649043560028
5.300282832150207e-06,5.318898129453417e-06,233.99479687213898
2.199989681287157e-06,2.1864512832484667e-06,236.32310330867767
6.6295842895674105e-06,6.624507390302905e-06,238.65140974521637
9.461647929279033e-06,9.45910947964678e-06,240.97971618175507
7.830270965614324e-06,7.809117218678907e-06,243.30802261829376
2.5494495806551613e-06,2.5282958337197553e-06,245.63632905483246
4.936438384843673e-06,4.968592080185473e-06,247.96463549137115
9.492955474722411e-06,9.512416921902963e-06,250.29294192790985
1.1792790841530742e-05,1.1791944691653327e-05,252.62124836444855
1.130033161286909e-05,1.1289331664462704e-05,254.94955480098724
8.918419707942739e-06,8.912496658800843e-06,257.27786123752594
6.565276898851043e-06,6.5711999479929375e-06,259.60616767406464
6.018664078038666e-06,6.021202527670906e-06,261.93447411060333
7.600964348796858e-06,7.588272100635669e-06,264.26278054714203
1.174709874811197e-05,1.1736944949583026e-05,266.5910869836807
1.602015562903437e-05,1.6021001778911783e-05,268.9193934202194
1.5684234127693528e-05,1.5704541724751396e-05,271.2476998567581
1.2223481129075284e-05,1.2257327124171712e-05,273.5760062932968
6.37150857689933e-06,6.407893021627972e-06,275.9043127298355
1.9943752610549494e-06,1.9605292659585566e-06,278.2326191663742
5.852818702040623e-06,5.823203456331295e-06,280.5609256029129
3.4175993548546496e-06,3.4057532565709247e-06,282.8892320394516
2.881140332575875e-06,2.8896018313499595e-06,285.2175384759903
8.250807454605757e-06,8.26265355288947e-06,287.545844912529
6.714199277229253e-06,6.7125069774744375e-06,289.8741513490677
2.53506503271183e-06,2.5088343865122076e-06,292.2024577856064
2.497834438104614e-06,2.5409880818523567e-06,294.5307642221451
1.751530246230988e-06,1.8099145877720207e-06,296.8590706586838
5.8502802523839605e-06,5.8714339993191065e-06,299.1873770952225
2.7356025536516664e-06,2.732217954142045e-06,301.51568353176117
6.5559692501336885e-06,6.6084305425327974e-06,303.84398996829987
1.2204019681805643e-05,1.2248019475430678e-05,306.17229640483856
1.2909708679554433e-05,1.2924939377347707e-05,308.50060284137726
7.674579388051331e-06,7.680502437193156e-06,310.82890927791595
4.605593782705872e-06,4.630978279027969e-06,313.15721571445465
4.647901276573691e-06,4.67751652228279e-06,315.48552215099335
3.048678008280828e-06,3.077447104112509e-06,317.81382858753204
1.0932256416033489e-06,1.1219947374350159e-06,320.14213502407074
1.3716089512679126e-06,1.3005323615661825e-06,322.47044146060944
9.925338061915246e-07,9.324571648960444e-07,324.79874789714813
1.363147452492541e-06,1.3656859021247432e-06,327.12705433368683
4.414363910397319e-06,4.405902411623316e-06,329.4553607702255
3.7154441116628516e-06,3.707828762766252e-06,331.7836672067642
2.3235275633389165e-06,2.331142912235512e-06,334.1119736433029
5.7140501220757546e-06,5.728434669991538e-06,336.4402800798416
7.438503572211392e-06,7.4410420218435875e-06,338.7685865163803
6.122740512853546e-06,6.11597131383436e-06,341.096892952919
6.1210482130957865e-06,6.099894466160841e-06,343.4251993894577
5.7216654709612605e-06,5.694588674884544e-06,345.7535058259964
2.5638341285129086e-06,2.5672187280224963e-06,348.0818122625351
5.432282212886138e-06,5.4449744610470865e-06,350.4101186990738
9.479417076469534e-06,9.489570874998288e-06,352.7384251356125
9.110495729920466e-06,9.113034179552652e-06,355.0667315721512
5.1192067582421e-06,5.106514510081169e-06,357.3950380086899
3.0072166642617947e-06,2.9809860180625502e-06,359.7233444452286
1.7794531921608265e-06,1.768453243754697e-06,362.0516508817673
7.217658454172486e-07,7.226119952946428e-07,364.37995731830597
2.062913401086086e-06,2.03922120451906e-06,366.70826375484467
1.7117612019668625e-06,1.6525307105493242e-06,369.03657019138336
2.4885267894128613e-06,2.414911750079669e-06,371.36487662792206
2.4817575903925682e-06,2.4250655486072623e-06,373.69318306446075
3.3126767699906067e-06,3.2940614726879775e-06,376.02148950099945
4.493901998828108e-06,4.471055952138529e-06,378.34979593753815
3.673136617756339e-06,3.6392906226606803e-06,380.67810237407684
3.324522868269547e-06,3.283061524277384e-06,383.00640881061554
2.6264492194207178e-06,2.6264492194207178e-06,385.33471524715424
1.8522220816073944e-06,1.858991280626517e-06,387.66302168369293
